Fbxo36	Fbxo36
C130026I21Rik	C130026I21Rik
A530032D15Rik	A530032D15Rik
A530040E14Rik	A530040E14Rik
G530012D18Rik	G530012D18Rik
Sp110	Sp110
Gm16094	Gm16094
Sp140	Sp140
Gm10552	Gm10552
Gm17017	Gm17017
Sp100	Sp100
A630001G21Rik	A630001G21Rik
Cab39	Cab39
Itm2c	Itm2c
Gm28884	Gm28884
Gpr55	Gpr55
2810459M11Rik	2810459M11Rik
Psmd1	Psmd1
Htr2b	Htr2b
Gm21972	Gm21972
Armc9	Armc9
Gm16341	Gm16341
B3gnt7	B3gnt7
Gm28626	Gm28626
Ncl	Ncl
Nmur1	Nmur1
Ptma	Ptma
Pde6d	Pde6d
Cops7b	Cops7b
Nppc	Nppc
Dis3l2	Dis3l2
Prss56	Prss56
Chrng	Chrng
Eif4e2	Eif4e2
Gigyf2	Gigyf2
Kcnj13	Kcnj13
Inpp5d	Inpp5d
Atg16l1	Atg16l1
Sag	Sag
Dgkd	Dgkd
Gm19582	Gm19582
Usp40	Usp40
Ugt1a10	Ugt1a10
Ugt1a9	Ugt1a9
Ugt1a8	Ugt1a8
Ugt1a7c	Ugt1a7c
Ugt1a6a	Ugt1a6a
Dnajb3	Dnajb3
Mroh2a	Mroh2a
Hjurp	Hjurp
Glrp1	Glrp1
